formats,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias,Type 1,Type 2,is_Strong
PU,bw,Mothim,70,94,50,94,50,66,23.3,0.9,Standard,414.0,mothim,Bug,Flying,0
Uber,sm,Shaymin-Sky,100,103,75,120,75,127,5.2,0.4,Standard,492.0,shaymin-sky,Grass,Flying,1
PU,ss,Claydol,60,70,105,70,120,75,108.0,1.5,Standard,344.0,claydol,Ground,Psychic,0
NU,sv,Bruxish,68,105,70,70,70,92,19.0,0.9,Standard,779.0,bruxish,Water,Psychic,0
LC,ss,Electrike,40,45,40,65,40,65,15.2,0.6,Standard,309.0,electrike,Electric,None,0
NFE,sv,Fletchinder,62,73,55,56,52,84,16.0,0.7,Standard,662.0,fletchinder,Fire,Flying,0
PU,xy,Lapras,130,85,80,85,95,60,220.0,2.5,Standard,131.0,lapras,Water,Ice,0
LC,sv,Scatterbug,38,35,40,27,25,35,2.5,0.3,Standard,664.0,scatterbug,Bug,None,0
OU,sv,Wyrdeer,103,105,72,105,75,65,95.1,1.8,Standard,899.0,wyrdeer,Normal,Psychic,1
LC,sv,Voltorb-Hisui,40,30,50,55,55,100,13.0,0.5,Standard,100.0,voltorb-hisui,Electric,Grass,0
UU,sv,Salamence,95,135,80,110,80,100,102.6,1.5,Standard,373.0,salamence,Dragon,Flying,0
LC,sv,Grimer-Alola,80,80,50,40,50,25,42.0,0.7,Standard,88.0,grimer-alola,Poison,Dark,0
LC,sv,Snover,60,62,50,62,60,40,50.5,1.0,Standard,459.0,snover,Grass,Ice,0
LC,sv,Cacnea,50,85,40,85,40,35,51.3,0.4,Standard,331.0,cacnea,Grass,None,0
NFE,sv,Sneasel-Hisui,55,95,55,35,75,115,27.0,0.9,Standard,215.0,sneasel-hisui,Fighting,Poison,0
NU,sm,Magmortar,75,95,67,125,95,83,68.0,1.6,Standard,467.0,magmortar,Fire,None,0
NFE,ss,Mr. Mime-Galar,50,65,65,90,90,100,56.8,1.4,Standard,122.0,mr-mime-galar,Ice,Psychic,0
RU,sv,Cryogonal,80,50,50,95,135,105,148.0,1.1,Standard,615.0,cryogonal,Ice,None,0
LC,sm,Spearow,40,60,30,31,31,70,2.0,0.3,Standard,21.0,spearow,Normal,Flying,0
LC,sv,Goomy,45,50,35,55,75,40,2.8,0.3,Standard,704.0,goomy,Dragon,None,0
LC,ss,Tentacool,40,40,35,50,100,70,45.5,0.9,Standard,72.0,tentacool,Water,Poison,0
PU,sm,Hitmonchan,50,105,79,35,110,76,50.2,1.4,Standard,107.0,hitmonchan,Fighting,None,0
NFE,ss,Lombre,60,50,50,60,70,50,32.5,1.2,Standard,271.0,lombre,Water,Grass,0
Uber,sv,Zacian-Crowned,92,150,115,80,115,148,355.0,2.8,Standard,888.0,zacian-crowned,Fairy,Steel,1
LC,sv,Bronzor,57,24,86,24,86,23,60.5,0.5,Standard,436.0,bronzor,Steel,Psychic,0
PUBL,ss,Exeggutor-Alola,95,105,85,125,75,45,415.6,10.9,Standard,103.0,exeggutor-alola,Grass,Dragon,0
